Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
Globe Life,17,http://www.globeontheweb.com,http://www.linkedin.com/company/globe-insurance,623f4e4de7308b0001affb84
ViaPath Technologies,180,http://www.viapath.co.uk,http://www.linkedin.com/company/viapath-technologies,623f4e4de7308b0001affbbe
Amazon Web Services (AWS),1156000,http://www.amazon.com,http://www.linkedin.com/company/amazon,61f9608a66f7f20001ee0467
Wells Fargo,263000,http://www.wellsfargo.com,http://www.linkedin.com/company/wellsfargo,61f9608a66f7f20001ee04b8
Amazon,1156000,http://www.amazon.com,http://www.linkedin.com/company/amazon,620176553e1b060001a1faab
"Pinnacle Group, Inc.",810,http://www.pinnacle1.com,http://www.linkedin.com/company/pinnacle-technical-resources,620176553e1b060001a1fc33
Luxoft,15000,http://www.luxoft.com,http://www.linkedin.com/company/luxoft,6205526548cf3b0001a2e103
NFI,5800,http://www.nfiindustries.com,http://www.linkedin.com/company/nfi,6205526548cf3b0001a2e113
Mouser Electronics,1700,http://www.mouser.com,http://www.linkedin.com/company/mouser-electronics,620a7b18c47acf00010f4ef0
World Wide Technology,7000,http://www.wwt.com,http://www.linkedin.com/company/world-wide-technology,620d0bbaa74b4f0001689ee5
